#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231.133.780
#Sample rate: 2.5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-8.929043478260871e-05,0.001035878570090749
-8.925043478260871e-05,-0.0009480142108072186
-8.92104347826087e-05,-0.0005347032147868087
-8.917043478260869e-05,0.0002092565780499292
-8.913043478260871e-05,-0.001278663007623547
-8.909043478260871e-05,-0.003758528983746006
-8.90504347826087e-05,-0.005494435167031728
-8.90104347826087e-05,-0.00896624753360317
-8.897043478260872e-05,-0.01103280251370522
-8.893043478260871e-05,-0.01185942450574604
-8.88904347826087e-05,-0.01293403309539911
-8.88504347826087e-05,-0.01384331728664401
-8.881043478260869e-05,-0.01475260147788891
-8.877043478260871e-05,-0.01417396608346034
-8.873043478260871e-05,-0.01318201969301135
-8.86904347826087e-05,-0.01144611350972563
-8.865043478260869e-05,-0.01004085612325624
-8.861043478260871e-05,-0.008552936537582762
-8.857043478260871e-05,-0.007065016951909285
-8.85304347826087e-05,-0.0051637863702154
-8.849043478260869e-05,-0.002518595995684776
-8.845043478260871e-05,0.0004572431756621751
-8.841043478260871e-05,0.002771784753376471
-8.83704347826087e-05,0.005747623924723422
-8.83304347826087e-05,0.00938476068970303
-8.829043478260872e-05,0.01211261326343773
-8.825043478260871e-05,0.01450981704035611
-8.82104347826087e-05,0.01517111463398877
-8.81704347826087e-05,0.01533643903239693
-8.813043478260872e-05,0.01599773662602959
-8.809043478260871e-05,0.01608039882523367
-8.80504347826087e-05,0.01434449264194795
-8.80104347826087e-05,0.009963396084131604
-8.797043478260869e-05,0.006987556912784651
-8.793043478260871e-05,0.003681068944621372
-8.789043478260871e-05,0.001449189566111159
-8.78504347826087e-05,-0.001196000808419465
-8.781043478260869e-05,-0.001774636202848039
-8.777043478260871e-05,-0.001774636202848039
-8.773043478260871e-05,4.393217964176519e-05
-8.76904347826087e-05,0.001201202968498913
-8.76504347826087e-05,0.005830286123927504
-8.761043478260872e-05,0.009219436291294866
-8.757043478260871e-05,0.01326988405229488
-8.75304347826087e-05,0.01938688679339695
-8.74904347826087e-05,0.02599986272972351
-8.745043478260872e-05,0.03195154107241741
-8.741043478260871e-05,0.03732458402068274
-8.73704347826087e-05,0.04244964037133582
-8.73304347826087e-05,0.04567346614029502
-8.729043478260869e-05,0.04790534551880524
-8.725043478260871e-05,0.04856664311243789
-8.721043478260871e-05,0.0498892382997032
-8.71704347826087e-05,0.05129449568617259
-8.713043478260869e-05,0.05162514448298892
-8.709043478260871e-05,0.05137715788537667
-8.705043478260871e-05,0.04955858950288687
-8.70104347826087e-05,0.04749203452278482
-8.697043478260869e-05,0.04559080394109094
-8.693043478260872e-05,0.04278028916815215
-8.689043478260871e-05,0.03955646339919296
-8.68504347826087e-05,0.03426608265013171
-8.68104347826087e-05,0.02872771530345821
-8.677043478260872e-05,0.02475992974166228
-8.673043478260871e-05,0.02029617098464185
-8.66904347826087e-05,0.01698968301647857
-8.66504347826087e-05,0.01128599127139692
-8.661043478260869e-05,0.007566192307213226
-8.657043478260871e-05,0.003763731143825454
-8.653043478260871e-05,0.003019771350988716
-8.64904347826087e-05,0.003102433550192799
-8.645043478260869e-05,0.005334312928703012
-8.641043478260871e-05,0.008888787494478537
-8.637043478260871e-05,0.011368653470601
-8.63304347826087e-05,0.01194728886502957
-8.629043478260869e-05,0.01178196446662141
-8.625043478260872e-05,0.01095534247458059
-8.621043478260871e-05,0.008888787494478537
-8.61704347826087e-05,0.007483530108009144
-8.61304347826087e-05,0.006160934920743832
-8.609043478260872e-05,0.005416975127907094
-8.605043478260871e-05,0.00607827272153975
-8.60104347826087e-05,0.006243597119947914
-8.59704347826087e-05,0.007483530108009144
-8.593043478260869e-05,0.005747623924723422
-8.589043478260871e-05,0.006987556912784651
-8.585043478260871e-05,0.008475476498458128
-8.58104347826087e-05,0.00938476068970303
-8.577043478260869e-05,0.01062469367776426
-8.573043478260871e-05,0.01236059986104998
-8.569043478260871e-05,0.01384851944672346
-8.56504347826087e-05,0.01484046583717244
-8.561043478260869e-05,0.01690702081727449
-8.557043478260872e-05,0.01831227820374388
-8.553043478260871e-05,0.01946954899260103
-8.54904347826087e-05,0.01963487339100919
-8.54504347826087e-05,0.02194941496872349
-8.541043478260872e-05,0.0232720101559888
-8.537043478260871e-05,0.026495835924948
-8.53304347826087e-05,0.02666116032335616
-8.52904347826087e-05,0.02864505310425413
-8.525043478260869e-05,0.02798375551062147
-8.521043478260871e-05,0.03005031049072352
-8.517043478260871e-05,0.0292236884986827
-8.51304347826087e-05,0.02980232389311128
-8.509043478260869e-05,0.02963699949470312
-8.505043478260871e-05,0.02847972870584597
-8.501043478260871e-05,0.02856239090505005
-8.49704347826087e-05,0.02814907990902964
-8.493043478260869e-05,0.0283144043074378
-8.489043478260871e-05,0.026495835924948
-8.485043478260871e-05,0.02442928094484595
-8.48104347826087e-05,0.02252805036315206
-8.47704347826087e-05,0.01938688679339695
-8.473043478260872e-05,0.01872558919976429
-8.469043478260871e-05,0.01649370982125408
-8.46504347826087e-05,0.01608039882523367
