#Digilent WaveForms Scope FFT
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231

Frequency (Hz),Channel 1 (dBV),Phase (deg)
85449.21875,-61.16438581259131,-17.73642528908547
86212.158203125,-64.17099799309446,-169.4720784513887
86975.09765625,-63.49075090941011,76.28180813242516
87738.037109375,-67.9889451371172,-97.95555509001652
88500.9765625,-70.72224858902086,77.87351071287617
89263.916015625,-61.11226895799297,-72.80878736735235
90026.85546875,-66.78908006452113,170.8219436296742
90789.794921875,-72.29659748127182,129.8007559909064
91552.734375,-64.44914646560292,-81.41863779202139
92315.673828125,-66.75878645537581,105.4319801145247
93078.61328125,-64.28110212144313,-36.93498418386933
93841.552734375,-59.65862741021201,150.452608307802
94604.4921875,-61.76896366350498,-24.13522381443957
95367.431640625,-67.1595927552809,-125.560678664404
96130.37109375,-61.35603709813392,85.05975343604365
96893.310546875,-63.77401083194712,-155.092885180374
97656.25,-62.57928553605888,-34.41243458679827
98419.189453125,-64.82963505783036,113.6399671460909
99182.12890625,-63.16993558450054,-131.6168862717785
99945.068359375,-62.40377542677663,31.29915006445105
100708.0078125,-66.21144044424511,-154.0165788163708
101470.947265625,-61.75732713636205,-44.15608264729467
102233.88671875,-55.24520115467544,108.6433601351191
102996.826171875,-62.87266913848354,-61.35165353282502
103759.765625,-61.04333331525918,-126.2678428101015
104522.705078125,-67.7131290478012,46.98831077133592
105285.64453125,-61.52162789531303,-74.00983673372805
106048.583984375,-60.97352903192717,135.1876154154411
106811.5234375,-63.05982675115538,5.323686241829199
107574.462890625,-61.57130717335178,152.625080568549
108337.40234375,-62.79368092788485,-12.75195140564024
109100.341796875,-64.74852293181871,-133.8699550974657
109863.28125,-75.48230303383576,102.0951911361531
110626.220703125,-62.31616736903815,126.9188655629164
111389.16015625,-68.19672988329307,-31.0913887379279
112152.099609375,-70.44329274667797,-29.9840532641426
112915.0390625,-65.44023119007564,-168.7440496244821
113677.978515625,-60.64730577569748,-41.67596617331753
114440.91796875,-60.70414151111203,136.4279157589333
115203.857421875,-71.61217371431947,32.91922575832378
115966.796875,-65.55523290302192,4.550595053834207
116729.736328125,-60.36390926629126,-118.2973057872261
117492.67578125,-71.1185613273294,99.34354278238375
118255.615234375,-66.61079035764926,123.8497449164295
119018.5546875,-66.49997406177195,-55.83391376647176
119781.494140625,-83.28469437861852,-76.1455275080363
120544.43359375,-63.10880688296735,132.0909264471364
121307.373046875,-57.76367166528665,-54.55075692782555
122070.3125,-59.19434051561343,93.8628720411332
122833.251953125,-58.91729183355916,-99.49236742310731
123596.19140625,-60.79274999608742,105.7118476967601
124359.130859375,-66.36993996867636,-41.29940034390461
125122.0703125,-72.47195674936077,101.211722956895
125885.009765625,-67.26926215348242,163.3811676868465
126647.94921875,-66.19603277639166,84.63302637798952
127410.888671875,-56.59605627427975,-80.21597147369296
128173.828125,-58.75843729481032,74.30551410422582
128936.767578125,-66.59093432640606,-109.6760430642228
129699.70703125,-69.0201179291433,-135.8487960253611
130462.646484375,-64.27270642540496,-136.7582969700127
131225.5859375,-62.44175398646832,65.95179539156122
131988.525390625,-67.13906585561618,-83.72488950799779
132751.46484375,-66.78150248211739,60.84849969536857
133514.404296875,-69.94721630144639,-99.89229252771368
134277.34375,-63.68641423644974,46.10351057513842
135040.283203125,-65.72360371348994,-112.0063706931564
135803.22265625,-63.78449590584783,161.9759920446962
136566.162109375,-65.22361472750558,91.37168785669961
137329.1015625,-57.9537431657883,-86.9672487881962
138092.041015625,-60.39420813180814,78.42508499466267
138854.98046875,-62.6522282433256,46.17865736520173
139617.919921875,-59.92260595735547,-133.4539021836884
140380.859375,-79.42794603816337,151.3849137634474
141143.798828125,-62.96489165752094,39.86486268738675
141906.73828125,-58.58098118491188,-81.36525222022567
142669.677734375,-55.9722765933987,134.4826189374131
143432.6171875,-59.03587012904491,-42.51742611157125
144195.556640625,-69.68514575570057,-41.90400329310427
144958.49609375,-70.47078211731792,112.8100441687429
145721.435546875,-78.72855093331577,-92.71866288063779
146484.375,-65.62392275867833,-115.5204531083409
147247.314453125,-63.57939918395482,-155.3745207256975
148010.25390625,-56.64271537898865,36.71131923411896
148773.193359375,-56.29008760539462,-179.0001422785089
149536.1328125,-58.86895306182577,-28.21386431776074
150299.072265625,-60.58742354483967,157.8008172539143
151062.01171875,-58.53426556861824,21.74760029651835
151824.951171875,-62.53637808392574,-137.7512982226476
152587.890625,-65.8438022071773,-136.4249028422639
153350.830078125,-74.18871617449841,104.1226856390272
154113.76953125,-74.68713060466443,-30.6995685029392
154876.708984375,-60.35367159489131,10.03503929183166
155639.6484375,-62.42262808409517,-176.1562166698577
156402.587890625,-61.3020394791221,9.892784607204909
157165.52734375,-58.73528216590356,-179.731862333693
157928.466796875,-58.80441340583413,-11.17906705473668
158691.40625,-63.5595284036347,-167.4529459740602
159454.345703125,-60.28100449991925,109.5398277626535
160217.28515625,-56.31386545165817,-50.21942707704699
160980.224609375,-58.05173466746395,137.068388371899
161743.1640625,-61.66073881112281,-53.51640127914655
162506.103515625,-71.9485832574119,79.63154151748225
163269.04296875,-69.08129390841717,164.4276338647137
164031.982421875,-62.67411686942337,59.66889225695717
164794.921875,-60.31355002343552,-134.45970478405
165557.861328125,-65.75046319829501,38.31443207484783
166320.80078125,-80.26039040463779,87.00024284114578
167083.740234375,-65.20934821683801,-108.8376883689281
167846.6796875,-65.46085302829381,177.1436718886594
168609.619140625,-62.67304784733412,21.31477899518231
169372.55859375,-81.5277696473148,-108.2631428362592
170135.498046875,-61.57580792712753,105.3576793501583
170898.4375,-61.76870362265332,-87.26204551018816
171661.376953125,-62.17806488857282,37.68755877070339
172424.31640625,-59.41032640270003,168.4219887786428
173187.255859375,-57.9091785973648,-48.24392807003073
173950.1953125,-57.37342730400397,135.9180552316557
174713.134765625,-62.64373933312663,-38.92048030294133
175476.07421875,-65.69406926126223,101.3986459757441
176239.013671875,-68.11608021760441,9.712061589147194
177001.953125,-68.2014574692042,167.240567703285
177764.892578125,-58.49296657715109,-116.289551018641
178527.83203125,-61.50412256850747,60.49716260704059
179290.771484375,-71.60212142312932,96.4219794695821
180053.7109375,-69.82165620551569,-76.3200059271861
180816.650390625,-59.9322208274691,111.8548357098171
181579.58984375,-57.70780181832508,-63.81332194627323
182342.529296875,-59.27640699978664,117.2683699591276
183105.46875,-58.11712252522888,-52.57108900947939
183868.408203125,-63.16251582084028,126.3637247618405
184631.34765625,-62.27344771709446,-178.8314325241923
185394.287109375,-60.61904896732948,-7.500364356249297
186157.2265625,-60.43565225363511,-169.4682435049647
186920.166015625,-77.19148096717599,-15.86326410738146
187683.10546875,-69.77700174158137,-0.2160756023338719
188446.044921875,-73.20402150899584,111.3978789575105
189208.984375,-68.85037793968921,-149.4349849614917
189971.923828125,-64.68128784355267,41.10667498540184
190734.86328125,-61.60825381682494,-152.6792142738536
191497.802734375,-65.96434811385132,28.84216508987406
192260.7421875,-68.83998761993263,16.41963763816154
193023.681640625,-63.27339211792277,-100.342520425629
193786.62109375,-65.02138581793085,130.9704618481221
194549.560546875,-62.34440303961847,81.27273577722039
195312.5,-58.58135589918667,-105.6443072584572
196075.439453125,-59.89734650599839,48.63012182225025
196838.37890625,-56.92844610936461,-151.5858526155364
197601.318359375,-59.63856993279275,29.92031038401499
198364.2578125,-70.48311885756476,-70.50001385126114
199127.197265625,-62.61301702069591,152.8165180941744
199890.13671875,-64.61986737006282,-41.0605335306118
200653.076171875,-72.79026868554786,164.4612038795026
201416.015625,-64.63122865772682,-37.08761529169462
202178.955078125,-59.41233472773671,141.0483576863139
202941.89453125,-59.12085598354372,-21.3544376240503
203704.833984375,-65.31811687193851,-173.5987522581967
204467.7734375,-64.30871492797783,45.42503112446147
205230.712890625,-67.81217516222216,-178.9356481087455
205993.65234375,-60.27150833042214,-65.43043109608851
206756.591796875,-67.59991582525456,-155.8547081334079
207519.53125,-59.74239284302109,52.79551091639922
208282.470703125,-61.3031002463676,-162.7856619006225
209045.41015625,-57.48004396150715,4.536767427718002
209808.349609375,-59.74078157879252,177.7091362214615
210571.2890625,-62.40260655063609,-108.5945897546488
211334.228515625,-63.10387035555089,77.61661478414146
212097.16796875,-66.4258502493625,177.656563622318
212860.107421875,-58.67904683915068,-36.76143894636775
213623.046875,-63.56570243943814,160.7384758002577
214385.986328125,-60.98347915789195,12.54666255486595
215148.92578125,-67.09518915196143,-80.68251062361452
215911.865234375,-60.30319806543594,138.7110321468423
216674.8046875,-62.44818752761023,-93.19118773225611
217437.744140625,-66.0054438103499,134.4777362050054
218200.68359375,-79.04268556978947,151.4918558240703
218963.623046875,-62.62008128880377,-4.152868624991894
219726.5625,-71.31138463133858,-131.3705344126558
220489.501953125,-69.95541442715938,133.8759253699636
221252.44140625,-73.2582561506578,94.24975157289634
222015.380859375,-61.14190604606573,-87.85704333498713
222778.3203125,-61.03442076059095,114.8602727634262
223541.259765625,-58.63025533701546,-35.54344333484991
224304.19921875,-64.8583466885846,-163.8403976305671
225067.138671875,-61.46881250325028,51.6349605928804
225830.078125,-57.15889144699226,-143.0691433433502
226593.017578125,-63.2942755769411,16.25712232799201
227355.95703125,-64.22993925128618,117.6862039734528
228118.896484375,-61.93698418861875,-26.16283803376532
228881.8359375,-59.79429719687977,137.802964501562
229644.775390625,-64.21323195787812,-99.59541239254119
230407.71484375,-72.01956289937465,-42.41718418881003
231170.654296875,-58.53212162695912,102.3986127772054
231933.59375,-58.38881365925461,-76.68985336500289
232696.533203125,-57.40308013427754,86.73958186213531
