Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-4.040e-02,0.034
-4.032e-02,0.036
-4.024e-02,0.038
-4.016e-02,0.042
-4.008e-02,0.042
-4.000e-02,0.04
-3.992e-02,0.032
-3.984e-02,0.034
-3.976e-02,0.038
-3.968e-02,0.038
-3.960e-02,0.038
-3.952e-02,0.032
-3.944e-02,0.028
-3.936e-02,0.034
-3.928e-02,0.038
-3.920e-02,0.036
-3.912e-02,0.032
-3.904e-02,0.026
-3.896e-02,0.03
-3.888e-02,0.032
-3.880e-02,0.028
-3.872e-02,0.022
-3.864e-02,0.02
-3.856e-02,0.026
-3.848e-02,0.024
-3.840e-02,0.018
-3.832e-02,0.014
-3.824e-02,0.016
-3.816e-02,0.02
-3.808e-02,0.016
-3.800e-02,0.01
-3.792e-02,0.006
-3.784e-02,0.01
-3.776e-02,0.008
-3.768e-02,0.002
-3.760e-02,-0.002
-3.752e-02,0.002
-3.744e-02,-0.002
-3.736e-02,-0.006
-3.728e-02,-0.008
-3.720e-02,-0.004
-3.712e-02,-0.008
-3.704e-02,-0.016
-3.696e-02,-0.016
-3.688e-02,-0.01
-3.680e-02,-0.012
-3.672e-02,-0.02
-3.664e-02,-0.028
-3.656e-02,-0.022
-3.648e-02,-0.02
-3.640e-02,-0.018
-3.632e-02,-0.022
-3.624e-02,-0.028
-3.616e-02,-0.03
-3.608e-02,-0.03
-3.600e-02,-0.028
-3.592e-02,-0.026
-3.584e-02,-0.028
-3.576e-02,-0.032
-3.568e-02,-0.036
-3.560e-02,-0.034
-3.552e-02,-0.03
-3.544e-02,-0.03
-3.536e-02,-0.036
-3.528e-02,-0.034
-3.520e-02,-0.03
-3.512e-02,-0.034
-3.504e-02,-0.04
-3.496e-02,-0.036
-3.488e-02,-0.032
-3.480e-02,-0.034
-3.472e-02,-0.038
-3.464e-02,-0.034
-3.456e-02,-0.032
-3.448e-02,-0.032
-3.440e-02,-0.038
-3.432e-02,-0.038
-3.424e-02,-0.03
-3.416e-02,-0.024
-3.408e-02,-0.024
-3.400e-02,-0.028
-3.392e-02,-0.032
-3.384e-02,-0.032
-3.376e-02,-0.024
-3.368e-02,-0.02
-3.360e-02,-0.02
-3.352e-02,-0.022
-3.344e-02,-0.024
-3.336e-02,-0.024
-3.328e-02,-0.018
-3.320e-02,-0.012
-3.312e-02,-0.01
-3.304e-02,-0.016
-3.296e-02,-0.012
-3.288e-02,-0.006
-3.280e-02,-0.004
-3.272e-02,-0.008
-3.264e-02,-0.004
-3.256e-02,0.004
-3.248e-02,0.004
-3.240e-02,0
-3.232e-02,0.004
-3.224e-02,0.012
-3.216e-02,0.012
-3.208e-02,0.012
-3.200e-02,0.008
-3.192e-02,0.01
-3.184e-02,0.014
-3.176e-02,0.016
-3.168e-02,0.02
-3.160e-02,0.024
-3.152e-02,0.028
-3.144e-02,0.03
-3.136e-02,0.032
-3.128e-02,0.032
-3.120e-02,0.034
-3.112e-02,0.036
-3.104e-02,0.036
-3.096e-02,0.034
-3.088e-02,0.032
-3.080e-02,0.042
-3.072e-02,0.044
-3.064e-02,0.036
-3.056e-02,0.036
-3.048e-02,0.042
-3.040e-02,0.038
-3.032e-02,0.036
-3.024e-02,0.04
-3.016e-02,0.04
-3.008e-02,0.034
-3.000e-02,0.04
-2.992e-02,0.042
-2.984e-02,0.034
-2.976e-02,0.036
-2.968e-02,0.038
-2.960e-02,0.036
-2.952e-02,0.034
-2.944e-02,0.038
-2.936e-02,0.036
-2.928e-02,0.028
-2.920e-02,0.034
-2.912e-02,0.034
-2.904e-02,0.028
-2.896e-02,0.028
-2.888e-02,0.03
-2.880e-02,0.026
-2.872e-02,0.026
-2.864e-02,0.026
-2.856e-02,0.022
-2.848e-02,0.016
-2.840e-02,0.022
-2.832e-02,0.02
-2.824e-02,0.012
-2.816e-02,0.014
-2.808e-02,0.014
-2.800e-02,0.008
-2.792e-02,0.008
-2.784e-02,0.008
-2.776e-02,0.004
-2.768e-02,0
-2.760e-02,0.002
-2.752e-02,0
-2.744e-02,-0.008
-2.736e-02,-0.006
-2.728e-02,-0.002
-2.720e-02,-0.006
-2.712e-02,-0.01
-2.704e-02,-0.014
-2.696e-02,-0.012
-2.688e-02,-0.012
-2.680e-02,-0.01
-2.672e-02,-0.016
-2.664e-02,-0.022
-2.656e-02,-0.02
-2.648e-02,-0.018
-2.640e-02,-0.02
-2.632e-02,-0.024
-2.624e-02,-0.026
-2.616e-02,-0.024
-2.608e-02,-0.024
-2.600e-02,-0.028
-2.592e-02,-0.03
-2.584e-02,-0.026
-2.576e-02,-0.026
-2.568e-02,-0.032
-2.560e-02,-0.038
-2.552e-02,-0.032
-2.544e-02,-0.03
-2.536e-02,-0.032
-2.528e-02,-0.038
-2.520e-02,-0.032
-2.512e-02,-0.028
-2.504e-02,-0.034
-2.496e-02,-0.038
-2.488e-02,-0.03
-2.480e-02,-0.032
-2.472e-02,-0.038
-2.464e-02,-0.032
-2.456e-02,-0.03
-2.448e-02,-0.036
-2.440e-02,-0.036
-2.432e-02,-0.03
-2.424e-02,-0.03
-2.416e-02,-0.034
-2.408e-02,-0.032
-2.400e-02,-0.034
-2.392e-02,-0.026
-2.384e-02,-0.022
-2.376e-02,-0.022
-2.368e-02,-0.022
-2.360e-02,-0.022
-2.352e-02,-0.02
-2.344e-02,-0.02
-2.336e-02,-0.02
-2.328e-02,-0.02
-2.320e-02,-0.016
-2.312e-02,-0.012
-2.304e-02,-0.01
-2.296e-02,-0.006
-2.288e-02,-0.002
-2.280e-02,0
-2.272e-02,0
-2.264e-02,0
-2.256e-02,0
-2.248e-02,-0.002
-2.240e-02,-0.002
-2.232e-02,0.002
-2.224e-02,0.006
-2.216e-02,0.01
-2.208e-02,0.012
-2.200e-02,0.018
-2.192e-02,0.018
-2.184e-02,0.02
-2.176e-02,0.018
-2.168e-02,0.02
-2.160e-02,0.02
-2.152e-02,0.02
-2.144e-02,0.022
-2.136e-02,0.026
-2.128e-02,0.03
-2.120e-02,0.034
-2.112e-02,0.036
-2.104e-02,0.038
-2.096e-02,0.038
-2.088e-02,0.036
-2.080e-02,0.034
-2.072e-02,0.034
-2.064e-02,0.036
-2.056e-02,0.038
-2.048e-02,0.042
-2.040e-02,0.044
-2.032e-02,0.044
-2.024e-02,0.042
-2.016e-02,0.04
-2.008e-02,0.034
-2.000e-02,0.032
-1.992e-02,0.038
-1.984e-02,0.042
-1.976e-02,0.042
-1.968e-02,0.042
-1.960e-02,0.04
-1.952e-02,0.038
-1.944e-02,0.034
-1.936e-02,0.03
-1.928e-02,0.032
-1.920e-02,0.036
-1.912e-02,0.036
-1.904e-02,0.034
-1.896e-02,0.032
-1.888e-02,0.028
-1.880e-02,0.024
-1.872e-02,0.026
-1.864e-02,0.024
-1.856e-02,0.024
-1.848e-02,0.024
-1.840e-02,0.02
-1.832e-02,0.016
-1.824e-02,0.01
-1.816e-02,0.012
-1.808e-02,0.016
-1.800e-02,0.016
-1.792e-02,0.012
-1.784e-02,0.004
-1.776e-02,0.006
-1.768e-02,0.006
-1.760e-02,-0.002
-1.752e-02,0
-1.744e-02,0
-1.736e-02,-0.006
-1.728e-02,-0.008
-1.720e-02,-0.002
-1.712e-02,-0.008
-1.704e-02,-0.014
-1.696e-02,-0.01
-1.688e-02,-0.014
-1.680e-02,-0.016
-1.672e-02,-0.012
-1.664e-02,-0.018
-1.656e-02,-0.022
-1.648e-02,-0.024
