  Hz	 Vrms	dBV	deg
7300.0	0.047	-26.561	-76.4
7400.0	0.046	-26.683	-78.1
7500.0	0.046	-26.851	-78.0
7600.0	0.045	-26.941	-77.4
7700.0	0.045	-26.956	-78.4
7800.0	0.044	-27.151	-78.8
7900.0	0.044	-27.247	-79.1
8000.0	0.043	-27.369	-79.3
8100.0	0.042	-27.494	-79.9
8200.0	0.042	-27.611	-80.2
8300.0	0.041	-27.718	-80.2
8400.0	0.040	-27.972	-80.2
8500.0	0.040	-28.012	-81.3
8600.0	0.039	-28.173	-79.9
8700.0	0.038	-28.405	-80.2
8800.0	0.038	-28.439	-79.9
8900.0	0.037	-28.570	-81.8
9000.0	0.037	-28.723	-81.5
9100.0	0.036	-28.863	-81.7
9200.0	0.035	-29.132	-81.8
9300.0	0.035	-29.082	-82.4
9400.0	0.035	-29.199	-83.3
9500.0	0.034	-29.429	-82.7
9600.0	0.034	-29.471	-82.2
9700.0	0.033	-29.604	-82.3
9800.0	0.033	-29.690	-82.1
9900.0	0.032	-29.802	-82.9
10000.0	0.032	-29.881	-82.7
